"","Holding","Fund ISIN","Fund Manager","Fund size","Market sector","Morningstar category","Asset Class","Sharpe ratio 3 year","Standard deviation","OCF/TER(%)","rating","(Current Yr-4)","(Current Yr-3)","(Current Yr-2)","(Current Yr-1)","(Current Yr)","Fund code","Fund currency","Style","Buy","Sell","AMC(%)","Distribution frequency","Distribution yield","HoldingM"
"1872","Kames Strategic Bond B Acc","GB00B3ZLQW29","Kames",387,"Financial Services","Global Flexible Bond - GBP Hedged","UK Aggregate Bond",0.67,3.74,0.79,NA,8.33,7.68,0.1,0.34,6.2,"AESTA","GBP","Active",0,0,0.75,"Quarter",2.35,"KamesStrategicBondBAcc"
"1873","Legal & General Multi-Index 3 Fund Inc","GB00B6VR4B04","Legal & General",243,"Financial Services","GBP Cautious Allocation","Mixed Assets - Defensive",1.52,3.94,0.31,4,NA,NA,6.58,6.05,6.21,"LGMEI","GBP","Active",0,0,0.25,"6months",NA,"Legal&GeneralMulti-Index3FundInc"
"1874","Kames Strategic Bond B Inc","GB00B00MY367","Kames",387,"Financial Services","Global Flexible Bond - GBP Hedged","UK Aggregate Bond",0.67,3.77,0.79,NA,8.34,7.71,0.1,0.35,6.21,"AESBB","GBP","Active",0,0,0.75,"Quarter",2.35,"KamesStrategicBondBInc"
"1875","SVS Church House Tenax Absolute Strategies Fund C Inc","GB00BNBNRD03","Church House Investments",78,"Financial Services","Alt - Multistrategy","Mixed Assets - Flexible",1.26,3.29,0.83,NA,NA,NA,6.34,1.19,6.24,"CHACI","GBP","Active",0,0,0.75,"6months",NA,"SVSChurchHouseTenaxAbsoluteStrategiesFundCInc"
"1876","Jupiter Strategic Bond I Class Acc","GB00B4T6SD53","Jupiter Asset Management",3694,"Financial Services","Global Flexible Bond - GBP Hedged","Bonds",1.58,2.69,0.7,NA,9.47,10.09,1.16,4.31,6.27,"JUSIA","GBP","Active",0,0,0.5,"Quarter",3.8,"JupiterStrategicBondIClassAcc"
"1877","SLI Short Duration Credit Plat 1 Acc","GB00B7F7XT42","Standard Life",253,"Financial Services","GBP Corporate Bond","UK Corporate Bond",0.78,3.09,0.69,NA,8.83,8.37,-0.12,0.4,6.36,"SLSIT","GBP","Active",0,0,0.5,"Quarter",1.62,"SLIShortDurationCreditPlat1Acc"
"1878","RWC Enhanced Income R","LU1017299584","RWC",360,"Healthcare","UK Large-Cap Value Equity","UK Equity",0.63,5.72,1.1,NA,12.89,6.75,-0.09,4.4,6.36,"RWEIR","GBP","Active",0,0,0.8,"1year",NA,"RWCEnhancedIncomeR"
"1879","SLI MyFolio Market I Plat 1 Acc","GB00B7KSN259","Standard Life",241,"Financial Services","GBP Cautious Allocation","Mixed Assets - Defensive",1.27,3.77,0.67,NA,4.66,4.73,4.63,4.34,6.38,"SLMAF","GBP","Active",0,0,0.4,"1year",1.58,"SLIMyFolioMarketIPlat1Acc"
"1880","RWC Enhanced Income R DIST","LU1017299824","RWC",360,"Healthcare","UK Large-Cap Value Equity","UK Equity",0.63,5.72,1.1,NA,12.15,6.1,-0.71,4.03,6.39,"RWEID","GBP","Active",0,0,0.8,"Quarter",NA,"RWCEnhancedIncomeRDIST"
"1881","F&C MM Lifestyle Foundations SC B Inc","GB00BG5GM973","F&C (BMO GAM)",29,"Financial Services","","",1.04,3.85,1.12,NA,NA,NA,4.1,1.19,6.4,"FCLFI","GBP","Active",0,0,0.5,"6months",NA,"F&CMMLifestyleFoundationsSCBInc"
"1882","Henderson UK Property PAIF Feeder I Inc","GB00BYP82C20","Henderson",2055,"Real Estate","Property - Direct UK","Property - Physical",0.99,4.38,0.83,NA,7.44,11.02,11.33,-3.02,6.4,"HDPII","GBP","Active",0,0,0.75,"Quarter",NA,"HendersonUKPropertyPAIFFeederIInc"
"1883","Fidelity Multi Asset Allocator Strategic Fund N-Accumulation","GB00BC7GX947","Fidelity",107,"Financial Services","GBP Moderate Allocation","Mixed Assets - Balanced",1.1,5.62,0.25,NA,5.87,4.1,6.72,6.57,6.43,"NAASA","GBP","Active",0,0,0.25,"1year",NA,"FidelityMultiAssetAllocatorStrategicFundN-Accumulation"
"1884","CF Miton Defensive Multi Asset B Acc","GB00B0525B66","Miton",78,"Technology","","",1.15,4.78,0.92,NA,4.49,-4.04,6.85,3.72,6.47,"MISTA","GBP","Active",0,0,0.75,"6months",NA,"CFMitonDefensiveMultiAssetBAcc"
"1885","Santander Atlas Portfolio 3 Inst A","GB00BD3CW185","Santander",77,"Financial Services","GBP Cautious Allocation","Mixed Assets - Defensive",1.15,4.14,0.9,NA,7.4,5.37,4.89,3.19,6.48,"SAAPO","GBP","Active",0,0,0.4,"Quarter",NA,"SantanderAtlasPortfolio3InstA"
"1886","M&G Episode Defensive Fund Sterling I-P Acc","GB00B71Q6528","M&G",23,"Financial Services","Alt - Global Macro","Mixed Assets - Flexible",0.13,3.84,0.73,NA,NA,4.16,0.1,-3.99,6.49,"MGFSA","GBP","Active",0,0,0.5,"1year",NA,"M&GEpisodeDefensiveFundSterlingI-PAcc"
"1887","HSBC Global Strategy Cautious Portfolio C Acc","GB00B84DV184","HSBC",43,"Real Estate","","",1.26,4.68,0.16,NA,3.73,4.61,3.53,7.63,6.57,"HCWCA","GBP","Active",0,0,0.1,"6months",NA,"HSBCGlobalStrategyCautiousPortfolioCAcc"
"1888","F&C Property Growth & Income I Acc","GB00BQWJ8687","F&C (BMO GAM)",257,"Real Estate","","",1.23,7.25,1.07,NA,7.41,22.18,11.57,8.59,6.58,"FCGIA","GBP","Active",0,0,0.9,"Quarter",NA,"F&CPropertyGrowth&IncomeIAcc"
"1889","BlackRock Managed Index Portfolios - Moderate","LU1191063202","BlackRock",127,"Financial Services","Other Allocation","Mixed Assets - Balanced",NA,NA,0.5,NA,NA,NA,NA,2.97,6.61,"BMIPM","GBP","Active",0,0,0.37,"1year",NA,"BlackRockManagedIndexPortfolios-Moderate"
"1890","HSBC Global Strategy Cautious Portfolio C Inc","GB00B84L8664","HSBC",43,"Real Estate","","",1.25,4.7,0.16,NA,4.58,4.46,3.55,7.63,6.63,"HCWII","GBP","Active",0,0,0.1,"6months",NA,"HSBCGlobalStrategyCautiousPortfolioCInc"
"1891","SLI Global Real Estate P1 Fund Acc","GB00B774LD38","Standard Life",405,"Real Estate","Property - Indirect Global","Property - Listed",0.88,7.77,1.14,NA,6.55,7.1,-1.9,17.11,6.65,"SLSTP","GBP","Active",0,0,0.95,"Quarter",NA,"SLIGlobalRealEstateP1FundAcc"
"1892","Invesco Perpetual Balanced Risk 10 Y Acc","GB00BJ04F430","Invesco Perpetual",130,"Financial Services","GBP Flexible Allocation","Mixed Assets - Flexible",0.53,6.92,0.72,NA,NA,NA,-0.1,3.14,6.67,"IBCYA","GBP","Active",0,0,0.72,"1year",NA,"InvescoPerpetualBalancedRisk10YAcc"
"1893","Invesco Perpetual Corporate Bond Y Acc","GB00BJ04F760","Invesco Perpetual",4889,"Financial Services","GBP Corporate Bond","UK Corporate Bond",1.19,3.79,0.61,NA,NA,NA,2.1,3.55,6.68,"ICBYA","GBP","Active",0,0,0.61,"6months",3.36,"InvescoPerpetualCorporateBondYAcc"
"1894","Invesco Perpetual Corporate Bond Y Inc","GB00BJ04F877","Invesco Perpetual",4889,"Financial Services","GBP Corporate Bond","UK Corporate Bond",1.2,3.79,0.61,NA,NA,NA,2.1,3.55,6.7,"ICBYI","GBP","Active",0,0,0.61,"6months",3.36,"InvescoPerpetualCorporateBondYInc"
"1895","IFSL Tilney Bestinvest Advanced Passive: Cautious Portfolio Clean Accumulation","GB00BDFYD086","Tilney Bestinvest",1,"Real Estate","","",NA,NA,0.91,NA,NA,NA,NA,NA,6.71,"BIAPA","GBP","Active",0,0,0.65,"Quarter",NA,"IFSLTilneyBestinvestAdvancedPassive:CautiousPortfolioCleanAccumulation"
"1896","Waverton Sterling Bond Fund P GBP Inc","IE00BGQYPR94","Waverton",138,"Financial Services","Global Flexible Bond - GBP Hedged","UK Aggregate Bond",0.98,3.63,0.56,NA,NA,NA,0.63,1.59,6.71,"WVSBP","GBP","Active",0,0,0.4,"Quarter",NA,"WavertonSterlingBondFundPGBPInc"
"1897","Architas MM Diversified Protector 80","GB00B41R4271","Architas",38,"Financial Services","Capital Protected","Other",0.58,3.57,1.42,NA,6.19,2.19,1.22,-1.11,6.75,"ACDPE","GBP","Active",0,0,1.05,"1year",0,"ArchitasMMDiversifiedProtector80"
"1898","Schroder Global Cities Real Estate Fund Z Acc","GB00B1VPTY75","Schroder",623,"Real Estate","Property - Indirect Global","Property - Listed",0.89,13.48,0.92,NA,14.17,0.83,6.98,24.34,6.84,"SZGPA","GBP","Active",0,0,0.75,"1year",NA,"SchroderGlobalCitiesRealEstateFundZAcc"
"1899","Schroder Global Cities Real Estate Fund Z Inc","GB00B1VPTW51","Schroder",623,"Real Estate","Property - Indirect Global","Property - Listed",0.89,13.48,0.92,NA,14.17,0.78,6.96,24.35,6.85,"SZGPI","GBP","Active",0,0,0.75,"1year",NA,"SchroderGlobalCitiesRealEstateFundZInc"
"1900","VT UK Infrastructure Income Fund C GBP Net Income","GB00BYVB3J98","Valu-Trac",0,"Industrials","Sector Equity Infrastructure","Global Equity",NA,NA,0.75,NA,NA,NA,NA,NA,14.14,"VTUCI","GBP","Active",0,0,0.75,"Quarter",NA,"VTUKInfrastructureIncomeFundCGBPNetIncome"
"1901","Legal & General Mixed Investment 0-35% Fund I Inc","GB00B8B8CK26","Legal & General",973,"Financial Services","","",1.23,4.65,0.5,NA,NA,9.28,3.48,6.25,6.88,"LGXIN","GBP","Active",0,0,0.4,"6months",NA,"Legal&GeneralMixedInvestment0-35%FundIInc"
"1902","Kames Investment Grade Bond B Inc","GB00B142F707","Kames",1465,"Financial Services","GBP Corporate Bond","UK Corporate Bond",1.26,5.03,0.79,NA,9.17,8.86,5.34,5.93,6.88,"AEIBI","GBP","Active",0,0,0.75,"Quarter",2.78,"KamesInvestmentGradeBondBInc"
"1903","Kames Investment Grade Bond B Acc","GB00B141C763","Kames",1465,"Financial Services","GBP Corporate Bond","UK Corporate Bond",1.27,5.03,0.79,NA,9.19,8.87,5.36,5.95,6.89,"AEIBA","GBP","Active",0,0,0.75,"Quarter",2.78,"KamesInvestmentGradeBondBAcc"
"1904","VT Garraway UK Equity Market Fund - F Sterling Net Income","GB00B7MF2Y92","Garraway",67,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.67,8.54,0.89,NA,NA,NA,9.84,-0.63,6.92,"TGUFI","GBP","Active",0,0,0.75,"Quarter",NA,"VTGarrawayUKEquityMarketFund-FSterlingNetIncome"
"1905","Legal & General Mixed Investment 0-35% Fund I Acc","GB00B8KRCM23","Legal & General",973,"Financial Services","","",1.22,4.69,0.5,NA,NA,9.3,3.42,6.15,6.96,"LGXIA","GBP","Active",0,0,0.4,"6months",NA,"Legal&GeneralMixedInvestment0-35%FundIAcc"
"1906","CF Canlife Portfolio III  Fund C Inc","GB00B8SC7T13","Canada Life",35,"Consumer Defensive","GBP Cautious Allocation","Mixed Assets - Defensive",1.41,4.35,0.89,NA,NA,NA,6.41,5.27,6.98,"CNPCI","GBP","Active",0,0,0.45,"6months",NA,"CFCanlifePortfolioIIIFundCInc"
"1907","HSBC World Selection Conservative C Inc","GB00BQ15ZG67","HSBC",590,"Real Estate","","",NA,NA,0.84,NA,NA,NA,NA,6.35,6.98,"HSCCI","GBP","Active",0,0,0.55,"6months",NA,"HSBCWorldSelectionConservativeCInc"
"1908","CF Canlife Portfolio III  Fund C Acc","GB00B96T7P76","Canada Life",35,"Consumer Defensive","GBP Cautious Allocation","Mixed Assets - Defensive",1.41,4.35,0.89,NA,NA,NA,6.31,5.27,6.99,"CNPCA","GBP","Active",0,0,0.45,"6months",NA,"CFCanlifePortfolioIIIFundCAcc"
"1909","Neptune European Opportunities Fund C Inc","GB00B909GK18","Neptune",401,"Financial Services","Europe ex-UK Large-Cap Equity","Europe Equity excl UK",0.86,16.76,0.86,NA,24.44,20.11,-1.06,-13.18,62.4,"NPEUI","GBP","Active",0,0,0.75,"6months",NA,"NeptuneEuropeanOpportunitiesFundCInc"
"1910","Neptune European Opportunities C Acc","GB00B8LF7310","Neptune",401,"Financial Services","Europe ex-UK Large-Cap Equity","Europe Equity excl UK",0.87,16.79,0.86,NA,25.28,20.29,-1.04,-12.44,62.53,"NPEUA","GBP","Active",0,0,0.75,"6months",NA,"NeptuneEuropeanOpportunitiesCAcc"
"1911","IFSL Tilney Bestinvest Advanced Passive: Cautious Portfolio Clean Income","GB00BDFYD193","Tilney Bestinvest",1,"Real Estate","","",NA,NA,0.91,NA,NA,NA,NA,NA,7.01,"BIAPI","GBP","Active",0,0,0.65,"Quarter",NA,"IFSLTilneyBestinvestAdvancedPassive:CautiousPortfolioCleanIncome"
"1912","SVS Cornelian Defensive Fund D Acc","GB00B5N17T22","Cornelian",45,"Financial Services","","",1.4,3.27,1.11,3,9.84,5.88,4.4,2.07,7.01,"CODFA","GBP","Active",0,0,0.75,"6months",NA,"SVSCornelianDefensiveFundDAcc"
"1913","JPM Japan Fund C - Net Accumulation","GB00B235RG08","J.P. Morgan Asset Management",395,"Technology","Japan Large-Cap Equity","Japan Equity",1.27,15.77,0.93,NA,28.03,-1.14,31.02,28.53,7.01,"SPPNI","GBP","Active",0,0,0.75,"1year",NA,"JPMJapanFundC-NetAccumulation"
"1914","SVS Cornelian Defensive Fund D Inc","GB00B5L3SC02","Cornelian",45,"Financial Services","","",1.4,3.27,1.11,3,9.86,5.88,4.4,2.07,7.02,"CODFI","GBP","Active",0,0,0.75,"6months",NA,"SVSCornelianDefensiveFundDInc"
"1915","JPM Japan Fund C - Net Income","GB00B235RJ39","J.P. Morgan Asset Management",395,"Technology","Japan Large-Cap Equity","Japan Equity",1.27,15.77,0.93,NA,NA,-1.24,31.11,28.47,7.04,"SPJPI","GBP","Active",0,0,0.75,"1year",NA,"JPMJapanFundC-NetIncome"
"1916","Aviva Investors Higher Income Plus Fund SC 2 Inc","GB0008531302","Aviva Investors",422,"Consumer Cyclical","GBP Flexible Bond","UK Aggregate Bond",1.24,4.73,0.64,NA,12.2,10.51,3.67,5.19,7.09,"NUHPI","GBP","Active",0,0,0.5,"1month",4.2,"AvivaInvestorsHigherIncomePlusFundSC2Inc"
"1917","M&G Strategic Corporate Bond Fund I Inc","GB00B6VTPZ79","M&G",3631,"Consumer Cyclical","GBP Corporate Bond","UK Corporate Bond",1.15,4.64,0.66,NA,6.41,7.51,3.31,4.8,7.12,"MGSNI","GBP","Active",0,0,0.5,"Quarter",3.56,"M&GStrategicCorporateBondFundIInc"
"1918","M&G Strategic Corporate Bond Fund I Acc","GB00B7J4YT87","M&G",3631,"Consumer Cyclical","GBP Corporate Bond","UK Corporate Bond",1.15,4.63,0.66,NA,6.4,7.49,3.29,4.78,7.15,"MGSNA","GBP","Active",0,0,0.5,"Quarter",2.91,"M&GStrategicCorporateBondFundIAcc"
"1919","7IM Moderately Cautious C Inc","GB0033953273","Seven IM",325,"Financial Services","","",0.68,5.23,1.29,NA,8.3,6.07,5.58,-1.87,7.16,"SMCCI","GBP","Active",0,0,0.9,"6months",NA,"7IMModeratelyCautiousCInc"
"1920","7IM Moderately Cautious C Acc","GB0033953497","Seven IM",325,"Financial Services","","",0.8,5.05,1.29,NA,8.32,6.08,6.77,-1.87,7.16,"SMCCA","GBP","Active",0,0,0.9,"6months",NA,"7IMModeratelyCautiousCAcc"
"1921","Architas MA Passive Prudent A Acc","GB00B7WNMF47","Architas",15,"Financial Services","","",1.38,5.05,0.65,NA,4.88,4,7.88,7.39,7.37,"ACPPA","GBP","Active",0,0,0.45,"6months",1.3,"ArchitasMAPassivePrudentAAcc"
"1922","SVS Church House Tenax Absolute Strategies Fund C Acc","GB00BNBNRF27","Church House Investments",78,"Financial Services","Alt - Multistrategy","Mixed Assets - Flexible",1.72,3.13,0.83,NA,NA,NA,7.09,3,7.37,"CHACA","GBP","Active",0,0,0.75,"6months",NA,"SVSChurchHouseTenaxAbsoluteStrategiesFundCAcc"
"1923","GS Wealthbuilder Multi-Asset Conservative R Shares (GBP-Hedged)","LU1057461300","Goldman Sachs AM",354,"Industrials","Other Allocation","Mixed Assets - Balanced",1.23,3.76,0.95,NA,NA,NA,2.35,4.56,7.4,"GSWMC","GBP","Active",0,0,0.6,"1year",NA,"GSWealthbuilderMulti-AssetConservativeRShares(GBP-Hedged)"
"1924","BGF Emerging Markets Local Currency Bond Hedged D2RF GBP","LU0827885491","BlackRock",2885,"Energy","Other Bond","Other",-0.04,11.67,0.77,NA,NA,2.03,-13.34,3.51,7.4,"BGEMD","GBP","Active",0,0,0.5,"1year",0,"BGFEmergingMarketsLocalCurrencyBondHedgedD2RFGBP"
"1925","Schroder Strategic Credit Fund L Inc","GB00B11DP098","Schroder",868,"Financial Services","Global Flexible Bond - GBP Hedged","UK Aggregate Bond",1.66,2.6,0.67,NA,6.69,6.21,1.78,1.81,7.44,"CZSBX","GBP","Active",0,0,0.5,"6months",4.02,"SchroderStrategicCreditFundLInc"
"1926","Architas MA Passive Prudent D Acc","GB00BNGNDM60","Architas",15,"Financial Services","","",1.41,5.04,0.5,NA,4.44,3.48,7.8,7.56,7.46,"ACRDA","GBP","Active",0,0,0.3,"6months",0,"ArchitasMAPassivePrudentDAcc"
"1927","Threadneedle Managed Bond Institutional Acc","GB00B0882P42","Columbia Threadneedle",254,"Industrials","GBP Cautious Allocation","Mixed Assets - Defensive",1.14,4.67,1.06,3,4.59,5.7,1.49,6.98,7.48,"THDFA","GBP","Active",0,0,0.9,"1year",NA,"ThreadneedleManagedBondInstitutionalAcc"
"1928","HSBC World Selection Conservative C Acc","GB00BQ15ZM28","HSBC",590,"Real Estate","","",NA,NA,0.84,NA,NA,NA,NA,6.41,7.5,"HSCCA","GBP","Active",0,0,0.55,"6months",NA,"HSBCWorldSelectionConservativeCAcc"
"1929","Carmignac Portfolio Emerging Patrimoine F GBP Acc Hdg","LU0592699176","Carmignac Gestion",725,"Technology","Other Allocation","Mixed Assets - Balanced",0.58,9.13,1.15,NA,-5.21,2.14,7.12,2.45,7.61,"CAEPA","GBP","Active",0,0,0.85,"1year",NA,"CarmignacPortfolioEmergingPatrimoineFGBPAccHdg"
"1930","Schroder Strategic Bond Fund Z Accumulation","GB00B7FPS593","Schroder",125,"Financial Services","Global Flexible Bond - GBP Hedged","UK Aggregate Bond",0.76,3.7,0.79,NA,10.44,9.55,-0.13,0.13,7.65,"SZSTA","GBP","Active",0,0,0.6,"6months",3.1,"SchroderStrategicBondFundZAccumulation"
"1931","Schroder Strategic Bond Fund Z Income","GB00B717KH50","Schroder",125,"Financial Services","Global Flexible Bond - GBP Hedged","UK Aggregate Bond",0.76,3.7,0.79,NA,10.64,9.4,-0.14,0.14,7.66,"SZSTI","GBP","Active",0,0,0.6,"6months",3.1,"SchroderStrategicBondFundZIncome"
"1932","Legal & General UK Property Feeder Fund (I) - Income","GB00BK35F390","Legal & General",2667,"Real Estate","Property - Direct UK","Property - Physical",1.98,3.69,0.75,NA,3.1,11.25,12.3,3.54,7.69,"LGPPI","GBP","Active",0,0,0.72,"Quarter",NA,"Legal&GeneralUKPropertyFeederFund(I)-Income"
"1933","Henderson European Absolute Return Fund I Acc","GB00B3CPX375","Henderson",85,"Financial Services","Alt - Long/Short Equity - Europe","Europe Equity Single Country",0.59,4.11,0.87,NA,18.88,18.42,3.31,-1.79,7.73,"HDEAA","GBP","Active",0,0,0.75,"6months",NA,"HendersonEuropeanAbsoluteReturnFundIAcc"
"1934","Royal London Ethical Bond Fund M Inc","GB00B7MT2J68","Royal London",432,"Financial Services","GBP Diversified Bond","UK Aggregate Bond",1.27,5.54,0.52,NA,8.55,8.05,6.14,5.93,7.77,"ROEMI","GBP","Active",0,0,0.45,"Quarter",4.51,"RoyalLondonEthicalBondFundMInc"
"1935","Oasis Crescent Global Equity Fund Class F GBP Dist","IE00BF234B03","Oasis Crescent",164,"Technology","Islamic Global Equity","Global Equity",1.19,9.15,1.15,NA,20.41,7.39,11.45,16.76,7.78,"OACED","GBP","Active",0,0,1,"6months",NA,"OasisCrescentGlobalEquityFundClassFGBPDist"
"1936","Oasis Crescent Global Equity Fund Class F GBP Acc","IE00BF234C10","Oasis Crescent",164,"Technology","Islamic Global Equity","Global Equity",1.2,9.17,1.15,NA,20.41,7.13,11.72,16.77,7.78,"OACEA","GBP","Active",0,0,1,"1year",NA,"OasisCrescentGlobalEquityFundClassFGBPAcc"
"1937","Threadneedle Managed Bond Fund Z Acc","GB00BRTM3L73","Columbia Threadneedle",258,"Industrials","GBP Cautious Allocation","Mixed Assets - Defensive",1.2,4.65,0.71,NA,4.37,5.55,1.52,7.29,7.81,"THZNA","GBP","Active",0,0,0.55,"1year",NA,"ThreadneedleManagedBondFundZAcc"
"1938","Royal London Ethical Bond Fund M Acc","GB00B8K6PK81","Royal London",432,"Financial Services","GBP Diversified Bond","UK Aggregate Bond",1.28,5.5,0.53,NA,6.26,8.08,6.19,5.83,7.81,"ROEMA","GBP","Active",0,0,0.45,"Quarter",4.51,"RoyalLondonEthicalBondFundMAcc"
"1939","M&G Global Floating Rate High Yield Fund Sterling I-H Inc","GB00BMP3SD68","M&G",3516,"Financial Services","Global High Yield Bond - GBP Hedged","UK High Yield Bond",NA,NA,0.84,NA,NA,NA,NA,0.51,7.82,"MGFRI","GBP","Active",0,0,0.65,"Quarter",4.15,"M&GGlobalFloatingRateHighYieldFundSterlingI-HInc"
"1940","Architas MM Strategic Bond A Acc","GB00B6QR6L91","Architas",40,"Financial Services","GBP Diversified Bond","UK Aggregate Bond",1.09,3.78,0.98,NA,4,5.08,0.85,2.82,7.87,"ACSBA","GBP","Active",0,0,0.6,"1year",2.32,"ArchitasMMStrategicBondAAcc"
"1941","Invesco Perpetual Japanese Smaller Companies Y Acc","GB00BJ04J523","Invesco Perpetual",49,"Technology","Japan Small/Mid-Cap Equity","Japan Equity",1,20.36,0.94,NA,NA,NA,0.86,58.52,7.88,"IJSYA","GBP","Active",0,0,0.94,"1year",NA,"InvescoPerpetualJapaneseSmallerCompaniesYAcc"
"1942","M&G Global Floating Rate High Yield Fund Sterling I-H Acc","GB00BMP3SC51","M&G",3516,"Financial Services","Global High Yield Bond - GBP Hedged","UK High Yield Bond",NA,NA,0.84,NA,NA,NA,NA,0.5,7.88,"MGFRA","GBP","Active",0,0,0.65,"Quarter",3.33,"M&GGlobalFloatingRateHighYieldFundSterlingI-HAcc"
"1943","Legg Mason IF Western Asset Global Multi Strategy Bond Fund Class X Inc (M) GBP","GB00B8267221","Western Asset Management Company Limited",455,"Energy","Global Flexible Bond - GBP Hedged","UK Aggregate Bond",0.73,5.49,0.78,NA,0.74,5.92,-0.52,2,7.91,"LMGMI","GBP","Active",0,0,0.62,"1month",4.8,"LeggMasonIFWesternAssetGlobalMultiStrategyBondFundClassXInc(M)GBP"
"1944","F&C Property Growth & Income I Inc","GB00BQWJ8794","F&C (BMO GAM)",257,"Real Estate","","",NA,NA,1.07,NA,NA,NA,NA,8.6,7.94,"FCGII","GBP","Active",0,0,0.9,"Quarter",NA,"F&CPropertyGrowth&IncomeIInc"
"1945","Royal London Sterling Credit Fund M Inc","GB00B6X6GB98","Royal London",1324,"Financial Services","GBP Corporate Bond","UK Corporate Bond",1.25,5.72,0.5,NA,9.18,8.46,5.81,6.21,7.95,"ROSMI","GBP","Active",0,0,0.45,"Quarter",4.6,"RoyalLondonSterlingCreditFundMInc"
"1946","Fidelity Multi Asset Strategic Fund N-Accumulation (UK)","GB00B6Y88304","Fidelity",650,"Financial Services","GBP Moderate Allocation","Mixed Assets - Balanced",1.32,5.55,0.8,NA,9.35,4.74,8.9,5.93,7.97,"NMASA","GBP","Active",0,0,0.5,"1year",NA,"FidelityMultiAssetStrategicFundN-Accumulation(UK)"
"1947","VT Garraway UK Equity Market Fund - F Sterling Net Accumulation","GB00B6RPQL25","Garraway",67,"Financial Services","UK Large-Cap Blend Equity","UK Equity",0.65,8.8,0.89,NA,NA,NA,9.84,-1.69,7.98,"TGUFA","GBP","Active",0,0,0.75,"Quarter",NA,"VTGarrawayUKEquityMarketFund-FSterlingNetAccumulation"
"1948","Artemis Global Energy Fund Class I Acc","GB00B56FW078","Artemis",37,"Energy","Sector Equity Energy","Global Equity",-0.44,23.51,1.02,1,-0.26,6.7,-37.07,-4.27,8.02,"ATGFA","GBP","Active",0,0,0.75,"1year",NA,"ArtemisGlobalEnergyFundClassIAcc"
"1949","Threadneedle Dynamic Real Return Fund Z Acc","GB00B93TQ868","Columbia Threadneedle",661,"Financial Services","GBP Flexible Allocation","Mixed Assets - Flexible",1.39,4.27,0.94,NA,NA,5.53,6.98,3.37,8.03,"THDZA","GBP","Active",0,0,0.75,"6months",NA,"ThreadneedleDynamicRealReturnFundZAcc"
"1950","Threadneedle Dynamic Real Return Fund Z Inc","GB00B93MKD82","Columbia Threadneedle",661,"Financial Services","GBP Flexible Allocation","Mixed Assets - Flexible",1.39,4.26,0.91,NA,NA,5.56,6.95,3.39,8.03,"THDZI","GBP","Active",0,0,0.75,"6months",NA,"ThreadneedleDynamicRealReturnFundZInc"
"1951","Vanguard LifeStrategy 40% Equity Acc","GB00B3ZHN960","Vanguard",1897,"Financial Services","","",1.48,5.36,0.22,NA,8.2,6.83,6.4,10.24,8.03,"VAFEA","GBP","Passive",0,0,0.22,"1year",NA,"VanguardLifeStrategy40%EquityAcc"
"1952","Vanguard LifeStrategy 40% Equity Inc","GB00B41F6L43","Vanguard",1897,"Financial Services","","",1.49,5.36,0.22,NA,8.19,6.84,6.4,10.24,8.03,"VALEI","GBP","Passive",0,0,0.22,"1year",NA,"VanguardLifeStrategy40%EquityInc"
"1953","GS Emerging Market Debt Blend Portfolio R Shares (GBP-Partially Hedged)","LU0910637510","Goldman Sachs AM",437,"Basic Materials","Other Bond","Other",0.57,9.34,0.95,NA,NA,2.22,-6.24,11.53,8.05,"GSEDR","GBP","Active",0,0,0.7,"1year",NA,"GSEmergingMarketDebtBlendPortfolioRShares(GBP-PartiallyHedged)"
"1954","Architas MM Strategic Bond A Inc","GB00B8QW1242","Architas",40,"Financial Services","GBP Diversified Bond","UK Aggregate Bond",1.17,3.74,0.98,NA,3.99,5.13,0.89,3.4,8.11,"ACSBI","GBP","Active",0,0,0.6,"1year",2.37,"ArchitasMMStrategicBondAInc"
"1955","Total Clarity Portfolio 3 Fund A Shares","GB00B4W2H776","Architas",24,"Real Estate","","",1.18,5.26,0.74,3,4.5,6.16,5.11,5.53,8.17,"TCPTA","GBP","Active",0,0,0.4,"6months",NA,"TotalClarityPortfolio3FundAShares"
"1956","MI Momentum Focus 3 A Accumulation shares","GB00B40M9847","Momentum",15,"Financial Services","","",1.03,4.46,1.49,3,5.59,6.04,1.33,4.97,8.19,"MOMDA","GBP","Active",0,0,0.5,"6months",NA,"MIMomentumFocus3AAccumulationshares"
"1957","Threadneedle Dynamic Real Return Institutional Accumulation","GB00B92GCX53","Columbia Threadneedle",661,"Financial Services","GBP Flexible Allocation","Mixed Assets - Flexible",1.43,4.27,0.72,NA,NA,5.67,7.13,3.51,8.19,"THDRR","GBP","Active",0,0,0.65,"6months",NA,"ThreadneedleDynamicRealReturnInstitutionalAccumulation"
"1958","BlackRock Consensus 35 Fund D Acc","GB00B7W6H253","BlackRock",25,"Financial Services","","",1.31,6.5,0.23,4,NA,2.53,4.93,13.38,8.21,"MCCDA","GBP","Active",0,0,0.2,"6months",1.53,"BlackRockConsensus35FundDAcc"
